subject_id,baseline_eeg_available,plearning_1_eeg_available,plearning_2_eeg_available,post_vr_eeg_available,pre_vr_eeg_available,recovery_eeg_available,vr_math_eeg_available,vr_speech_eeg_available,baseline_eeg_n_rows,plearning_1_eeg_n_rows,plearning_2_eeg_n_rows,post_vr_eeg_n_rows,pre_vr_eeg_n_rows,recovery_eeg_n_rows,vr_math_eeg_n_rows,vr_speech_eeg_n_rows
005,1,1,1,1,1,0,1,1,996.0,2469.0,2906.0,819.0,976.0,,1111.0,1322.0
007,1,0,0,0,1,1,0,0,593.0,,,,355.0,525.0,,
010,1,0,0,1,1,1,0,0,1029.0,,,676.0,660.0,803.0,,
012,1,0,0,0,1,1,0,0,489.0,,,,401.0,567.0,,
013,1,0,0,1,1,1,0,0,1011.0,,,520.0,557.0,635.0,,
014,1,0,0,1,1,1,0,0,426.0,,,690.0,963.0,469.0,,
015,1,0,0,1,1,1,0,0,850.0,,,891.0,885.0,816.0,,
016,1,0,0,1,1,1,0,0,762.0,,,818.0,752.0,704.0,,
018,1,0,0,1,1,1,0,0,1026.0,,,970.0,729.0,517.0,,
019,1,0,0,1,1,0,0,0,494.0,,,352.0,914.0,,,
020,1,0,0,1,1,1,0,0,1075.0,,,330.0,982.0,778.0,,
022,1,0,0,0,1,1,0,0,351.0,,,,448.0,1108.0,,
023,1,0,0,1,1,1,0,0,712.0,,,969.0,717.0,804.0,,
024,0,0,0,1,1,1,0,0,,,,86042.0,88725.0,99924.0,,
025,1,0,0,1,1,1,0,0,79686.0,,,80941.0,88464.0,81208.0,,
