subject_id,baseline_mean_hr,peak_mean_hr,post_vr_mean_hr,pre_vr_mean_hr,recovery_mean_hr,vr_math_mean_hr,vr_prep_mean_hr,vr_speech_mean_hr,baseline_median_hr,peak_median_hr,post_vr_median_hr,pre_vr_median_hr,recovery_median_hr,vr_math_median_hr,vr_prep_median_hr,vr_speech_median_hr,baseline_min_hr,peak_min_hr,post_vr_min_hr,pre_vr_min_hr,recovery_min_hr,vr_math_min_hr,vr_prep_min_hr,vr_speech_min_hr,baseline_max_hr,peak_max_hr,post_vr_max_hr,pre_vr_max_hr,recovery_max_hr,vr_math_max_hr,vr_prep_max_hr,vr_speech_max_hr,baseline_sd_hr,peak_sd_hr,post_vr_sd_hr,pre_vr_sd_hr,recovery_sd_hr,vr_math_sd_hr,vr_prep_sd_hr,vr_speech_sd_hr,baseline_n_samples,peak_n_samples,post_vr_n_samples,pre_vr_n_samples,recovery_n_samples,vr_math_n_samples,vr_prep_n_samples,vr_speech_n_samples,speech_hr_reactivity,math_hr_reactivity,prep_hr_reactivity,post_minus_pre_hr,recovery_minus_post_hr
005,76.51273885350318,74.41584158415841,68.99354838709678,71.35855263157895,,73.01413427561837,,76.56880733944953,77.0,76.0,72.0,71.0,,73.0,,77.0,61.0,57.0,50.0,60.0,,60.0,,66.0,85.0,85.0,80.0,82.0,,93.0,,85.0,5.076554215051563,5.582495098474355,8.170114277259307,5.167784749613986,,7.318959994449064,,4.257869594195313,314.0,303.0,310.0,304.0,,283.0,,327.0,5.21025470787059,1.6555816440394295,,-2.365004244482165,
007,86.3342776203966,,72.25187032418953,75.10695187165776,76.67639902676399,73.9623430962343,,79.27234042553191,87.0,,72.0,76.0,77.0,74.0,,80.0,77.0,,61.0,59.0,64.0,65.0,,67.0,96.0,,82.0,83.0,89.0,86.0,,90.0,3.8680492061689598,,3.625452074313236,4.219106904317964,4.121910837534507,4.696083245447948,,5.8465309360491124,353.0,,401.0,374.0,411.0,239.0,,235.0,4.165388553874152,-1.1446087754234497,,-2.855081547468231,4.424528702574463
010,77.07051282051282,,75.46376811594203,69.55737704918033,77.84615384615384,78.54746835443038,84.71637426900585,83.34137931034483,78.0,,75.0,70.0,78.0,79.0,85.0,85.0,54.0,,69.0,52.0,64.0,66.0,77.0,65.0,86.0,,88.0,81.0,89.0,91.0,95.0,93.0,6.01884733224214,,3.6070816577405562,6.1116922837445,4.654153275925181,5.280177959568188,4.428476335185815,5.895633082239847,312.0,,345.0,305.0,312.0,316.0,342.0,290.0,13.784002261164503,8.990091305250047,15.158997219825523,5.9063910667616994,2.3823857302118085
012,79.6283185840708,,,74.29276315789474,78.83280757097792,85.4985590778098,90.34126984126983,74.89887640449439,80.0,,,75.0,78.0,85.0,90.0,76.0,65.0,,,65.0,65.0,70.0,72.0,61.0,87.0,,,82.0,97.0,102.0,108.0,86.0,3.3842517906071317,,,3.527798179676095,8.807745943860327,6.808433498527371,9.37785870692199,6.329388923610308,339.0,,,304.0,317.0,347.0,378.0,267.0,0.6061132465996479,11.205795919915062,16.048506683375095,,
013,107.36519607843137,,,96.18971061093248,,99.16417910447761,90.47079037800687,100.53211009174312,108.0,,,96.0,,99.0,89.0,105.0,99.0,,,78.0,,86.0,73.0,75.0,116.0,,,109.0,,108.0,107.0,110.0,3.1328432911280304,,,6.03051569879419,,5.1264081355561055,10.755992991593915,10.217062450247033,408.0,,,311.0,,268.0,291.0,218.0,4.342399480810641,2.9744684935451318,-5.718920232925612,,
014,94.98507462686567,,93.14376996805112,95.74846625766871,90.34285714285714,102.33531157270029,100.80191693290735,95.84466019417475,97.0,,93.0,96.0,90.0,103.0,104.0,94.0,73.0,,83.0,87.0,84.0,94.0,73.0,83.0,103.0,,99.0,104.0,97.0,113.0,113.0,113.0,6.229859854906804,,3.5879652612792214,3.0165564846380377,2.5357139653205656,4.085073654507662,10.236892627773573,7.565334653573106,335.0,,313.0,326.0,315.0,337.0,313.0,206.0,0.09619393650604025,6.5868453150315815,5.053450675238636,-2.6046962896175927,-2.8009128251939757
015,65.14754098360656,,56.54140127388535,63.76315789473684,56.78104575163399,68.22222222222223,66.60262008733625,75.89444444444445,65.0,,57.0,63.5,57.0,68.0,68.0,76.0,57.0,,51.0,59.0,51.0,59.0,53.0,70.0,75.0,,64.0,71.0,65.0,81.0,83.0,83.0,3.828717945265797,,2.653565798824003,2.8672196306928663,2.7186846297304714,4.906398048115822,7.079386442572473,2.7735728570824283,305.0,,314.0,304.0,306.0,279.0,229.0,180.0,12.131286549707603,4.459064327485386,2.839462192599406,-7.221756620851494,0.23964447774864084
016,86.3375796178344,,,71.92592592592592,66.7749196141479,92.61436170212765,87.82014388489209,87.33333333333333,87.0,,,71.0,67.0,92.0,88.0,86.0,74.0,,,62.0,51.0,84.0,75.0,82.0,98.0,,,84.0,82.0,104.0,102.0,99.0,5.292775400423453,,,5.5245644021502125,7.543047294927777,4.122485479031151,8.951764297450985,4.739249001651671,314.0,,,324.0,311.0,376.0,139.0,195.0,15.407407407407405,20.68843577620173,15.894217958966166,,
018,90.42814371257485,,82.76646706586827,86.98939929328623,81.97297297297297,100.70370370370371,96.69950738916256,100.80672268907563,91.0,,83.0,87.0,82.0,101.0,96.0,101.0,68.0,,76.0,70.0,76.0,94.0,91.0,91.0,97.0,,90.0,96.0,87.0,107.0,103.0,107.0,4.538714165221133,,2.6393786414658655,3.6256416394131272,2.299992257158193,3.1276038343681,3.072289073666873,3.16302073738994,334.0,,334.0,283.0,259.0,324.0,203.0,119.0,13.817323395789401,13.714304410417483,9.710108095876336,-4.222932227417957,-0.7934940928953012
019,76.38218390804597,,77.32317073170732,75.70063694267516,,94.51219512195122,101.99003322259136,93.67148014440433,78.0,,77.0,78.0,,91.0,106.0,94.0,55.0,,73.0,61.0,,76.0,67.0,82.0,85.0,,83.0,86.0,,117.0,120.0,112.0,6.5581349575698695,,2.3092315086114663,6.503343910721844,,12.737493155165119,12.168123670704505,6.293286247004978,348.0,,328.0,314.0,,287.0,301.0,277.0,17.970843201729167,18.811558179276062,26.289396279916204,1.6225337890321612,
