variable,age_group,n_subjects,n_available,proportion_available
baseline_eeg_available,minor,6,5,0.8333333333333334
baseline_eeg_available,older_than_minor,12,12,1.0
baseline_eeg_n_rows,minor,6,5,0.8333333333333334
baseline_eeg_n_rows,older_than_minor,12,12,1.0
baseline_n_samples,minor,6,6,1.0
baseline_n_samples,older_than_minor,12,12,1.0
peak_n_samples,minor,6,1,0.16666666666666666
peak_n_samples,older_than_minor,12,0,0.0
plearning_1_eeg_available,minor,6,1,0.16666666666666666
plearning_1_eeg_available,older_than_minor,12,0,0.0
plearning_1_eeg_n_rows,minor,6,1,0.16666666666666666
plearning_1_eeg_n_rows,older_than_minor,12,0,0.0
plearning_2_eeg_available,minor,6,1,0.16666666666666666
plearning_2_eeg_available,older_than_minor,12,0,0.0
plearning_2_eeg_n_rows,minor,6,1,0.16666666666666666
plearning_2_eeg_n_rows,older_than_minor,12,0,0.0
post_vr_eeg_available,minor,6,6,1.0
post_vr_eeg_available,older_than_minor,12,9,0.75
post_vr_eeg_n_rows,minor,6,6,1.0
post_vr_eeg_n_rows,older_than_minor,12,9,0.75
post_vr_n_samples,minor,6,6,1.0
post_vr_n_samples,older_than_minor,12,9,0.75
pre_vr_eeg_available,minor,6,6,1.0
pre_vr_eeg_available,older_than_minor,12,11,0.9166666666666666
pre_vr_eeg_n_rows,minor,6,6,1.0
pre_vr_eeg_n_rows,older_than_minor,12,11,0.9166666666666666
pre_vr_n_samples,minor,6,5,0.8333333333333334
pre_vr_n_samples,older_than_minor,12,12,1.0
recovery_eeg_available,minor,6,4,0.6666666666666666
recovery_eeg_available,older_than_minor,12,11,0.9166666666666666
recovery_eeg_n_rows,minor,6,4,0.6666666666666666
recovery_eeg_n_rows,older_than_minor,12,11,0.9166666666666666
recovery_n_samples,minor,6,4,0.6666666666666666
recovery_n_samples,older_than_minor,12,10,0.8333333333333334
vr_math_eeg_available,minor,6,1,0.16666666666666666
vr_math_eeg_available,older_than_minor,12,0,0.0
vr_math_eeg_n_rows,minor,6,1,0.16666666666666666
vr_math_eeg_n_rows,older_than_minor,12,0,0.0
vr_math_n_samples,minor,6,6,1.0
vr_math_n_samples,older_than_minor,12,12,1.0
vr_prep_n_samples,minor,6,5,0.8333333333333334
vr_prep_n_samples,older_than_minor,12,11,0.9166666666666666
vr_speech_eeg_available,minor,6,1,0.16666666666666666
vr_speech_eeg_available,older_than_minor,12,0,0.0
vr_speech_eeg_n_rows,minor,6,1,0.16666666666666666
vr_speech_eeg_n_rows,older_than_minor,12,0,0.0
vr_speech_n_samples,minor,6,6,1.0
vr_speech_n_samples,older_than_minor,12,12,1.0
