variable,reason
peak_max_hr,constant
peak_mean_hr,constant
peak_median_hr,constant
peak_min_hr,constant
peak_sd_hr,constant
baseline_eeg_available,non_outcome_or_quality_control
baseline_eeg_n_rows,non_outcome_or_quality_control
baseline_n_samples,non_outcome_or_quality_control
batch_id,non_outcome_or_quality_control
classification_learning_rate_k,non_outcome_or_quality_control
classification_source_row,non_outcome_or_quality_control
face_blocks,non_outcome_or_quality_control
fit_a,non_outcome_or_quality_control
fit_b,non_outcome_or_quality_control
has_context,non_outcome_or_quality_control
k_sess1,non_outcome_or_quality_control
k_sess2,non_outcome_or_quality_control
max_seq,non_outcome_or_quality_control
median_session1_learning_rate_k,non_outcome_or_quality_control
mix_blocks,non_outcome_or_quality_control
n_trials,non_outcome_or_quality_control
ntrials,non_outcome_or_quality_control
peak_n_samples,non_outcome_or_quality_control
plearning_1_eeg_available,non_outcome_or_quality_control
plearning_1_eeg_n_rows,non_outcome_or_quality_control
plearning_2_eeg_available,non_outcome_or_quality_control
plearning_2_eeg_n_rows,non_outcome_or_quality_control
plearning_num,non_outcome_or_quality_control
plearning_num_subjectinfo,non_outcome_or_quality_control
post_vr_eeg_available,non_outcome_or_quality_control
post_vr_eeg_n_rows,non_outcome_or_quality_control
post_vr_n_samples,non_outcome_or_quality_control
pre_vr_eeg_available,non_outcome_or_quality_control
pre_vr_eeg_n_rows,non_outcome_or_quality_control
pre_vr_n_samples,non_outcome_or_quality_control
recovery_eeg_available,non_outcome_or_quality_control
recovery_eeg_n_rows,non_outcome_or_quality_control
recovery_n_samples,non_outcome_or_quality_control
reported_age,non_outcome_or_quality_control
screenheight,non_outcome_or_quality_control
screenwidth,non_outcome_or_quality_control
session,non_outcome_or_quality_control
subjectId_subjectinfo,non_outcome_or_quality_control
vr_math_eeg_available,non_outcome_or_quality_control
vr_math_eeg_n_rows,non_outcome_or_quality_control
vr_math_n_samples,non_outcome_or_quality_control
vr_prep_n_samples,non_outcome_or_quality_control
vr_speech_eeg_available,non_outcome_or_quality_control
vr_speech_eeg_n_rows,non_outcome_or_quality_control
vr_speech_n_samples,non_outcome_or_quality_control
