domain,outcome,session,source_variable,units,n_minor,n_older,minor_mean,minor_sd,older_mean,older_sd,minor_minus_older,hedges_g,p_value,p_value_fdr_bh,fdr_significant_0_05,minor_at_or_above_0_50_n,minor_at_or_above_0_50_pct,older_at_or_above_0_50_n,older_at_or_above_0_50_pct
Learning,Learning rate k,Session 1,learning_rate_k,rate parameter,6,12,0.3325497228276577,0.3687690845750682,0.6607108494102264,0.6494458364364053,-0.3281611265825686,-0.5420272391462159,0.1917459336377696,0.9365557811338272,False,,,,
Learning,Learning rate k,Session 2,learning_rate_k,rate parameter,5,11,0.1614998970670821,0.2510966675394194,0.5410943772856673,0.6195142150603787,-0.3795944802185852,-0.6639777426833926,0.1035239744923412,0.9365557811338272,False,,,,
Learning,Mean accuracy,Session 1,mean_accuracy,proportion correct,6,12,0.6527777777777778,0.1561793049947462,0.5731481481481481,0.1340643540573205,0.0796296296296297,0.5365342005881487,0.3140447757981945,0.9365557811338272,False,,,,
Learning,Mean accuracy,Session 2,mean_accuracy,proportion correct,5,11,0.6422222222222221,0.2036169849084547,0.5378787878787878,0.139350747224276,0.1043434343434343,0.6151810919001166,0.3396810343208424,0.9365557811338272,False,,,,
Learning,Area under learning curve,Session 1,auc_sess1,AUC,6,12,11.75,2.811227489905433,10.316666666666668,2.413158373031769,1.4333333333333318,0.5365342005881476,0.314044775798196,0.9365557811338272,False,,,,
Learning,Area under learning curve,Session 2,auc_sess2,AUC,5,11,11.56,3.6651057283521857,9.681818181818182,2.5083134500369693,1.8781818181818188,0.615181091900117,0.3396810343208422,0.9365557811338272,False,,,,
Learning,Median trial accuracy,Session 1,median_sess1,proportion correct,6,12,0.6666666666666666,0.1861898672502525,0.5750000000000001,0.1544785951633311,0.0916666666666665,0.5289588771100104,0.3267101627887742,0.9365557811338272,False,,,,
Learning,Median trial accuracy,Session 2,median_sess2,proportion correct,5,11,0.65,0.2207940216581961,0.5454545454545454,0.145695822614352,0.1045454545454546,0.5795183108211597,0.3729168337732197,0.9365557811338272,False,,,,
Learning,Linear learning slope,Session 1,slope_pre,proportion per trial,6,12,0.0098555211558307,0.0108679559653584,0.0038355693154454,0.0065554310527622,0.0060199518403852,0.7033012066130435,0.2528085749829948,0.9365557811338272,False,,,,
Learning,Linear learning slope,Session 2,slope_post,proportion per trial,5,11,0.0066047471620226,0.0208927996588973,0.0078712824842855,0.0061330342771395,-0.0012665353222628,-0.097259299024699,0.9001859285283589,0.9431955701997834,False,,,,
Learning,Change in linear slope,Session 2 minus Session 1,delta_slope,proportion per trial,5,11,-0.0061713106295149,0.0137337126298071,0.0047471620227037,0.0078577887158253,-0.0109184726522187,-1.0428073570206362,0.1554915674249124,0.9365557811338272,False,,,,
Strategy,Win-stay probability,Session 1,overall_winstay_sess1,conditional probability,6,12,0.6901527882466795,0.2102442994765594,0.6513177288591832,0.1761361373871818,0.0388350593874963,0.197296617450055,0.7064895978012924,0.9365557811338272,False,4.0,66.66666666666667,8.0,66.66666666666667
Strategy,Lose-switch probability,Session 1,overall_loseswitch_sess1,conditional probability,6,12,0.5159887015602888,0.1435945077888308,0.5291548772093569,0.0847096081411097,-0.0131661756490681,-0.1175598656963266,0.8418613312426834,0.9431955701997834,False,3.0,50.0,7.0,58.333333333333336
Strategy,Win-stay probability,Session 2,overall_winstay_sess2,conditional probability,5,11,0.711382290743283,0.2420786746620438,0.5673678932609989,0.1783756622078236,0.144014397482284,0.6853465165035626,0.278008637156835,0.9365557811338272,False,4.0,80.0,8.0,72.72727272727273
Strategy,Lose-switch probability,Session 2,overall_loseswitch_sess2,conditional probability,5,11,0.4583848340827746,0.093123231585744,0.4913357120073249,0.0888280311844186,-0.0329508779245502,-0.3458580677919777,0.5257255748115279,0.9365557811338272,False,2.0,40.0,7.0,63.63636363636363
Heart rate,Baseline mean heart rate,Subject level,baseline_mean_hr,bpm,6,12,85.60750864222781,9.857818289961171,83.16607131989576,11.080175862726422,2.4414373223320496,0.2170390159488691,0.6439146763950903,0.9365557811338272,False,,,,
Heart rate,Math heart-rate reactivity,Subject level,math_hr_reactivity,bpm change from pre-VR,5,12,7.465955562103659,5.4655868452207494,9.158036431362437,6.923051324887911,-1.6920808692587777,-0.2445960567605427,0.6042299983985631,0.9365557811338272,False,,,,
Heart rate,Speech heart-rate reactivity,Subject level,speech_hr_reactivity,bpm change from pre-VR,5,12,9.397811247158083,15.587986456711205,7.177756338408154,7.135020059874899,2.2200549087499306,0.2085091914773736,0.7730705579458987,0.9365557811338272,False,,,,
Heart rate,Preparation heart-rate reactivity,Subject level,prep_hr_reactivity,bpm change from pre-VR,4,11,7.384340641446848,5.890205442725604,11.05113635179972,10.426897444805936,-3.666795710352872,-0.360513498838638,0.4148090401075774,0.9365557811338272,False,,,,
Heart rate,Post minus pre-VR heart rate,Subject level,post_minus_pre_hr,bpm difference,5,9,0.8880343086680028,2.8833409340999996,1.690919551225799,13.065899654023644,-0.8028852425577963,-0.0696130407657841,0.8634766241277152,0.9431955701997834,False,,,,
