family,hr_variable,learning_variable,n,spearman_rho,spearman_p,pearson_r,pearson_p,spearman_p_fdr,fdr_significant_0_05,spearman_strength,direction
primary_hr_vs_strategy_change,max_stress_reactivity,delta_loseswitch,15,0.4035714285714285,0.13576799650365623,0.31890764960824186,0.24664365904168123,0.6022709499738313,False,moderate,positive
primary_hr_vs_strategy_change,math_hr_reactivity,delta_loseswitch,15,0.38928571428571423,0.15151193679039388,0.4250203549006166,0.11427627258289434,0.6022709499738313,False,moderate,positive
primary_hr_vs_strategy_change,speech_hr_reactivity,delta_winstay,15,0.36428571428571427,0.18191025904581395,0.26116000493856195,0.34712598462196437,0.6022709499738313,False,moderate,positive
primary_hr_vs_strategy_change,prep_hr_reactivity,delta_loseswitch,13,0.34065934065934067,0.2547064607541252,0.19318112921016237,0.5271624211711002,0.6022709499738313,False,moderate,positive
primary_hr_vs_strategy_change,mean_stress_reactivity,delta_loseswitch,15,0.30357142857142855,0.2713558360038685,0.25307455884668895,0.3627897192098682,0.6022709499738313,False,moderate,positive
primary_hr_vs_strategy_change,prep_hr_reactivity,delta_winstay,13,0.3186813186813187,0.2885831614447202,0.2695962249967669,0.37305952188881797,0.6022709499738313,False,moderate,positive
primary_hr_vs_strategy_change,speech_hr_reactivity,delta_strategy_bias,15,0.27499999999999997,0.3212111733193767,0.22087281915817075,0.42890406756687727,0.6022709499738313,False,small,positive
primary_hr_vs_strategy_change,max_stress_reactivity,delta_winstay,15,0.27499999999999997,0.3212111733193767,0.1961656060236016,0.483496626514825,0.6022709499738313,False,small,positive
primary_hr_vs_strategy_change,mean_stress_reactivity,delta_winstay,15,0.21428571428571427,0.44314093482351424,0.24562469846425383,0.3775597298927686,0.7001926087336685,False,small,positive
primary_hr_vs_strategy_change,math_hr_reactivity,delta_strategy_bias,15,-0.20357142857142854,0.46679507248911234,-0.05800638067095013,0.8373070428800832,0.7001926087336685,False,small,negative
primary_hr_vs_strategy_change,math_hr_reactivity,delta_winstay,15,0.14285714285714282,0.6115222287644655,0.1905128169379577,0.49643346930468285,0.8338939483151802,False,small,positive
primary_hr_vs_strategy_change,max_stress_reactivity,delta_strategy_bias,15,-0.09285714285714285,0.742045009907367,-0.0013389282183679796,0.9962214604973657,0.9275562623842087,False,negligible,negative
primary_hr_vs_strategy_change,mean_stress_reactivity,delta_strategy_bias,15,-0.06785714285714285,0.8101088187105131,0.07024420162355263,0.8035471552077537,0.9347409446659767,False,negligible,negative
primary_hr_vs_strategy_change,speech_hr_reactivity,delta_loseswitch,15,-0.028571428571428564,0.9194899083821857,-0.028163943960582485,0.9206347787670688,0.9431862416608072,False,negligible,negative
primary_hr_vs_strategy_change,prep_hr_reactivity,delta_strategy_bias,13,-0.021978021978021976,0.9431862416608072,0.158576351426948,0.6048498578389081,0.9431862416608072,False,negligible,negative
